Datetime,Ticker,open,high,low,close,volume
2025-11-03 09:00:00+09:00,005930,106900.0,109900.0,106500.0,109500.0,10223643
2025-11-03 11:00:00+09:00,005930,109500.0,111500.0,109200.0,110800.0,8115536
2025-11-03 13:00:00+09:00,005930,110800.0,111100.0,109600.0,110900.0,5851998
2025-11-04 09:00:00+09:00,005930,111800.0,112400.0,108400.0,108800.0,12498790
2025-11-04 11:00:00+09:00,005930,108900.0,108900.0,106700.0,107200.0,6369816
2025-11-04 13:00:00+09:00,005930,107200.0,107500.0,105100.0,105500.0,7863497
2025-11-05 09:00:00+09:00,005930,101000.0,101700.0,96700.0,98300.0,25052903
2025-11-05 11:00:00+09:00,005930,98400.0,102000.0,98100.0,101600.0,10141069
2025-11-05 13:00:00+09:00,005930,101600.0,101600.0,99700.0,100100.0,6362862
2025-11-06 09:00:00+09:00,005930,103700.0,103800.0,98800.0,99900.0,13381685
2025-11-06 11:00:00+09:00,005930,99900.0,100800.0,99200.0,100150.0,4853442
2025-11-06 13:00:00+09:00,005930,100200.0,100500.0,99500.0,99600.0,6335413
2025-11-07 09:00:00+09:00,005930,96400.0,100300.0,96300.0,98500.0,11297398
2025-11-07 11:00:00+09:00,005930,98400.0,98500.0,96600.0,97000.0,4455592
2025-11-07 13:00:00+09:00,005930,97000.0,98100.0,96300.0,98050.0,5172296
2025-11-10 09:00:00+09:00,005930,98600.0,100200.0,97900.0,100100.0,9257535
2025-11-10 11:00:00+09:00,005930,100200.0,100400.0,99700.0,100000.0,4603484
2025-11-10 13:00:00+09:00,005930,99900.0,101000.0,99900.0,100800.0,5104767
2025-11-11 09:00:00+09:00,005930,103700.0,106000.0,102800.0,105300.0,14665671
2025-11-11 11:00:00+09:00,005930,105200.0,105300.0,103600.0,104300.0,4908674
2025-11-11 13:00:00+09:00,005930,104300.0,104300.0,102000.0,102700.0,5939495
2025-11-12 09:00:00+09:00,005930,103000.0,103700.0,101600.0,102900.0,9695876
2025-11-12 11:00:00+09:00,005930,102900.0,103900.0,102800.0,103900.0,4264670
2025-11-12 13:00:00+09:00,005930,103900.0,103900.0,103100.0,103200.0,3440493
2025-11-13 09:00:00+09:00,005930,102500.0,104200.0,102400.0,103300.0,4737463
2025-11-13 11:00:00+09:00,005930,103200.0,103300.0,102400.0,102700.0,2643046
2025-11-13 13:00:00+09:00,005930,102600.0,103600.0,102300.0,103100.0,3639687
2025-11-14 09:00:00+09:00,005930,99000.0,99600.0,98500.0,98700.0,9020766
2025-11-14 11:00:00+09:00,005930,98700.0,99300.0,98600.0,99100.0,2964807
2025-11-14 13:00:00+09:00,005930,99100.0,99200.0,97600.0,98000.0,6689844
2025-11-17 09:00:00+09:00,005930,99800.0,101000.0,99500.0,100200.0,6229092
2025-11-17 11:00:00+09:00,005930,100200.0,100600.0,99600.0,100100.0,2544741
2025-11-17 13:00:00+09:00,005930,100200.0,100700.0,100100.0,100300.0,3644545
2025-11-18 09:00:00+09:00,005930,99800.0,100900.0,99000.0,99100.0,6931220
2025-11-18 11:00:00+09:00,005930,99000.0,99100.0,98100.0,98400.0,4063498
2025-11-18 13:00:00+09:00,005930,98400.0,98400.0,97500.0,97700.0,4957791
2025-11-19 09:00:00+09:00,005930,97100.0,97400.0,94600.0,96900.0,9138727
2025-11-19 11:00:00+09:00,005930,97000.0,97500.0,96000.0,96200.0,3306052
2025-11-19 13:00:00+09:00,005930,96100.0,96900.0,95900.0,96100.0,3246924
2025-11-20 09:00:00+09:00,005930,100900.0,101100.0,99500.0,100800.0,9579386
2025-11-20 11:00:00+09:00,005930,100800.0,102900.0,100700.0,102500.0,6343280
2025-11-20 13:00:00+09:00,005930,102500.0,102800.0,101100.0,101600.0,6310676
2025-11-21 09:00:00+09:00,005930,95600.0,96800.0,95100.0,95600.0,11265365
2025-11-21 11:00:00+09:00,005930,95600.0,95600.0,94500.0,95000.0,5175838
2025-11-21 13:00:00+09:00,005930,95000.0,95400.0,94500.0,95300.0,3796636
2025-11-24 09:00:00+09:00,005930,97800.0,99000.0,97150.0,98700.0,8064711
2025-11-24 11:00:00+09:00,005930,98700.0,99000.0,97700.0,97800.0,3439512
2025-11-24 13:00:00+09:00,005930,97850.0,97900.0,96200.0,97700.0,5252885
2025-11-25 09:00:00+09:00,005930,101400.0,101400.0,98900.0,98900.0,7919288
2025-11-25 11:00:00+09:00,005930,98900.0,99800.0,97900.0,97900.0,3270930
2025-11-25 13:00:00+09:00,005930,97900.0,99500.0,97800.0,99400.0,3322011
2025-11-26 09:00:00+09:00,005930,100500.0,101500.0,99300.0,101200.0,8868999
2025-11-26 11:00:00+09:00,005930,101100.0,101900.0,100700.0,101900.0,4600776
2025-11-26 13:00:00+09:00,005930,101800.0,102900.0,101500.0,102900.0,5252929
2025-11-27 09:00:00+09:00,005930,104100.0,105500.0,103700.0,104400.0,8703571
2025-11-27 11:00:00+09:00,005930,104400.0,104500.0,103100.0,103300.0,3148239
2025-11-27 13:00:00+09:00,005930,103250.0,103600.0,102700.0,103500.0,2661758
2025-11-28 09:00:00+09:00,005930,103800.0,103800.0,100900.0,101700.0,5452078
2025-11-28 11:00:00+09:00,005930,101650.0,101700.0,101000.0,101200.0,2031529
2025-11-28 13:00:00+09:00,005930,101150.0,101500.0,100800.0,100900.0,3434623
2025-12-01 09:00:00+09:00,005930,102000.0,102800.0,99900.0,101400.0,4569636
2025-12-01 11:00:00+09:00,005930,101400.0,101700.0,100800.0,101400.0,1582216
2025-12-01 13:00:00+09:00,005930,101400.0,101500.0,100200.0,100400.0,2060487
2025-12-02 09:00:00+09:00,005930,101200.0,102800.0,101000.0,102750.0,5551925
2025-12-02 11:00:00+09:00,005930,102750.0,103400.0,102600.0,103300.0,3574147
2025-12-02 13:00:00+09:00,005930,103200.0,103500.0,102700.0,103200.0,2512165
2025-12-03 09:00:00+09:00,005930,104700.0,105500.0,104000.0,105100.0,6618645
2025-12-03 11:00:00+09:00,005930,105100.0,105200.0,104400.0,105150.0,2069350
2025-12-03 13:00:00+09:00,005930,105200.0,105400.0,104900.0,105000.0,2988430
2025-12-04 09:00:00+09:00,005930,103900.0,104500.0,103200.0,103700.0,4853790
2025-12-04 11:00:00+09:00,005930,103600.0,104000.0,103300.0,103900.0,1789016
2025-12-04 13:00:00+09:00,005930,103900.0,104900.0,103900.0,104900.0,3107181
2025-12-05 09:00:00+09:00,005930,105300.0,107900.0,104600.0,106900.0,9776147
2025-12-05 11:00:00+09:00,005930,106900.0,107500.0,106600.0,107300.0,2609921
2025-12-05 13:00:00+09:00,005930,107200.0,107900.0,106900.0,107800.0,3899529
2025-12-08 09:00:00+09:00,005930,109700.0,109900.0,108000.0,109400.0,4939115
2025-12-08 11:00:00+09:00,005930,109350.0,110000.0,109300.0,109700.0,2526950
2025-12-08 13:00:00+09:00,005930,109700.0,110000.0,109000.0,109000.0,3771459
2025-12-09 09:00:00+09:00,005930,108900.0,109400.0,108200.0,108300.0,5054005
2025-12-09 11:00:00+09:00,005930,108200.0,108500.0,107300.0,107900.0,2987025
2025-12-09 13:00:00+09:00,005930,107900.0,109200.0,107700.0,109000.0,2744476
2025-12-10 09:00:00+09:00,005930,108300.0,109800.0,107400.0,107600.0,5752546
2025-12-10 11:00:00+09:00,005930,107600.0,108800.0,107500.0,108750.0,1858500
2025-12-10 13:00:00+09:00,005930,108800.0,109000.0,107600.0,107600.0,2781798
2025-12-11 09:00:00+09:00,005930,109200.0,110500.0,108900.0,109100.0,6673357
2025-12-11 11:00:00+09:00,005930,109100.0,109100.0,107800.0,108300.0,3612378
2025-12-11 13:00:00+09:00,005930,108300.0,108700.0,108000.0,108100.0,2165908
2025-12-12 09:00:00+09:00,005930,107100.0,108900.0,106800.0,108700.0,4989509
2025-12-12 11:00:00+09:00,005930,108700.0,108900.0,107500.0,107750.0,2739442
2025-12-12 13:00:00+09:00,005930,107800.0,108600.0,107700.0,108300.0,3037185
2025-12-15 09:00:00+09:00,005930,105300.0,105700.0,104600.0,105300.0,7801721
2025-12-15 11:00:00+09:00,005930,105300.0,105800.0,105000.0,105150.0,3153450
2025-12-15 13:00:00+09:00,005930,105150.0,105400.0,105000.0,105100.0,4352960
2025-12-16 09:00:00+09:00,005930,104900.0,105600.0,103400.0,103500.0,7917547
2025-12-16 11:00:00+09:00,005930,103600.0,104000.0,103100.0,103900.0,3990098
2025-12-16 13:00:00+09:00,005930,103900.0,103900.0,103000.0,103000.0,3843949
2025-12-17 09:00:00+09:00,005930,103500.0,105900.0,103400.0,105600.0,9220434
2025-12-17 11:00:00+09:00,005930,105600.0,106000.0,105400.0,105700.0,3715770
2025-12-17 13:00:00+09:00,005930,105800.0,107000.0,105200.0,106900.0,5006395
2025-12-18 09:00:00+09:00,005930,106400.0,107900.0,106000.0,106700.0,9441798
2025-12-18 11:00:00+09:00,005930,106800.0,107200.0,105800.0,106000.0,3563554
2025-12-18 13:00:00+09:00,005930,105900.0,108000.0,105900.0,108000.0,4348232
2025-12-19 09:00:00+09:00,005930,109700.0,109700.0,106200.0,106900.0,9897271
2025-12-19 11:00:00+09:00,005930,106900.0,107800.0,106500.0,107250.0,3687146
2025-12-19 13:00:00+09:00,005930,107250.0,107600.0,106400.0,106450.0,4369115
2025-12-22 09:00:00+09:00,005930,109700.0,110100.0,109300.0,109900.0,8030978
2025-12-22 11:00:00+09:00,005930,110000.0,110400.0,109600.0,109800.0,4840622
2025-12-22 13:00:00+09:00,005930,109800.0,110300.0,109700.0,110250.0,4761733
2025-12-23 09:00:00+09:00,005930,110900.0,112500.0,110400.0,112000.0,10738248
2025-12-23 11:00:00+09:00,005930,112000.0,112300.0,111000.0,111400.0,3737554
2025-12-23 13:00:00+09:00,005930,111400.0,112100.0,111300.0,111700.0,3665253
2025-12-24 09:00:00+09:00,005930,112400.0,112400.0,111200.0,111500.0,5522114
2025-12-24 11:00:00+09:00,005930,111550.0,111600.0,111200.0,111300.0,2021091
2025-12-24 13:00:00+09:00,005930,111200.0,111600.0,110900.0,111200.0,3155954
2025-12-26 09:00:00+09:00,005930,112400.0,116300.0,112400.0,116200.0,15679289
2025-12-26 11:00:00+09:00,005930,116200.0,116900.0,116100.0,116400.0,6934573
2025-12-26 13:00:00+09:00,005930,116400.0,116800.0,116100.0,116700.0,5986850
2025-12-29 09:00:00+09:00,005930,119400.0,119700.0,118300.0,119000.0,7541785
2025-12-29 11:00:00+09:00,005930,119000.0,119100.0,118200.0,118700.0,3514748
2025-12-29 13:00:00+09:00,005930,118700.0,119500.0,118500.0,118500.0,3725603
2025-12-30 09:00:00+09:00,005930,119100.0,121200.0,118700.0,120600.0,9411219
2025-12-30 11:00:00+09:00,005930,120700.0,120700.0,120000.0,120700.0,3069874
2025-12-30 13:00:00+09:00,005930,120700.0,120900.0,120100.0,120200.0,2813126
